building_code,address,location
K001,309 47 STREET,"40.7608559, -73.987927"
K002,655 PARKSIDE AVENUE,"40.6563887, -73.9514618"
K003,50 JEFFERSON AVENUE,"40.6823068, -73.9552409"
K005,820 HANCOCK STREET,"40.6854939, -73.9223832"
K006,43 SNYDER AVENUE,"40.6489827, -73.9562456"
K007,858 JAMAICA AVENUE,"40.6895935, -73.8729894"
K008,37 HICKS STREET,"40.7007275, -73.9928047"
K009,80 UNDERHILL AVENUE,"40.6785844, -73.9663398"
K010,511 7 AVENUE,"40.7530692, -73.9886201"
K011,419 WAVERLY AVENUE,"40.6856228, -73.9658514"
K012,430 HOWARD AVENUE,"40.6731183, -73.920067"
K013,557 PENNSYLVANIA AVENUE,"40.6637837, -73.8932587"
K014,2424 BATCHELDER STREET,"40.5935161, -73.9381931"
K015,71 SULLIVAN STREET,"40.7244068, -74.0037985"
K016,157 WILSON STREET,"40.7059151, -73.9620676"
K017,208 NORTH  5 STREET,"40.7152742, -73.957057"
K018,101 MAUJER STREET,"40.7108275, -73.9469479"
K019,325 SOUTH  3 STREET,"40.7099877, -73.9547556"
K020,225 ADELPHI STREET,"40.691059, -73.9710157"
K021,180 CHAUNCEY STREET,"40.680441, -73.92635"
K022,443 ST. MARKS AVENUE,"40.6770364, -73.9600737"
K023,545 WILLOUGHBY AVENUE,"40.6944681, -73.9474069"
K024,427 38 STREET,"40.7562936, -73.9953403"
K025,787 LAFAYETTE AVENUE,"40.6914765, -73.940691"
K026,1014 LAFAYETTE AVENUE,"40.6919757, -73.9314884"
K027,27 HUNTINGTON STREET,"40.6778469, -74.0048179"
K028,1001 HERKIMER STREET,"40.6781614, -73.9202186"
K029,425 HENRY STREET,"40.7142589, -73.9810442"
K031,75 MESEROLE AVENUE,"40.7269875, -73.9541882"
K032,317 HOYT STREET,"40.6804309, -73.9917041"
K033,70 TOMPKINS AVENUE,"40.6967257, -73.9473094"
K034,131 NORMAN AVENUE,"40.7263917, -73.9498398"
K035,272 MACDONOUGH STREET,"40.6817075, -73.9357224"
K038,450 PACIFIC STREET,"40.6849644, -73.9828242"
K039,417 6 AVENUE,"40.7336167, -73.9995861"
K040,265 RALPH AVENUE,"40.6802016, -73.9214653"
K041,411 THATFORD AVENUE,"40.660182, -73.9068734"
K043,1401 EMMONS AVENUE,"40.5837653, -73.954016"
K044,432 MONROE STREET,"40.6862075, -73.9409238"
K045,84 SCHAEFER STREET,"40.6866584, -73.910178"
K046,100 CLERMONT AVENUE,"40.6944248, -73.9716268"
K048,6015 18 AVENUE,"40.6215553, -73.987279"
K049,223 GRAHAM AVENUE,"40.7097646, -73.9445189"
K050,183 SOUTH  3 STREET,"40.7118634, -73.9600489"
K051,350 5 AVENUE,"40.7484404, -73.9856554"
K396,110 CHESTER STREET,"40.6679599, -73.9117337"
K052,2675 EAST  29 STREET,"40.5874041, -73.9402515"
K054,195 SANFORD STREET,"40.6926969, -73.952501"
K055,2021 Bergen Street,"40.6744933, -73.9132463"
K056,170 GATES AVENUE,"40.6843355, -73.9605487"
K057,125 STUYVESANT AVENUE,"40.6913962, -73.9331397"
K058,330 SMITH STREET,"40.6804297, -73.9956601"
K059,211 THROOP AVENUE,"40.6977036, -73.9433424"
K061,400 EMPIRE BOULEVARD,"40.6636762, -73.9490341"
K062,700 CORTELYOU ROAD,"40.6385738, -73.9712399"
K066,845 EAST  96 STREET,"40.7828679, -73.9438693"
K067,51 SAINT EDWARDS STREET,"40.6951434, -73.9778888"
K068,956 EAST  82 STREET,"40.7723574, -73.9466939"
K069,6302 9TH AVENUE,"40.7419383, -74.0046655"
K071,215 HEYWARD STREET,"40.703878, -73.953472"
K072,605 SHEPHERD AVENUE,"40.6695679, -73.8791893"
K073,251 MCDOUGAL STREET,"40.6806402, -73.9107933"
K075,95 GROVE STREET,"40.7333429, -74.0026986"
K078,1420 East 68 Street,"40.6207672, -73.9129882"
K081,990 DEKALB AVENUE,"40.6929267, -73.9347953"
K084,250 BERRY STREET,"40.7149339, -73.963439"
K085,510 CLERMONT AVENUE,"40.6825734, -73.9692679"
K086,220 IRVING AVENUE,"40.7007483, -73.9176601"
K088,544 7TH AVENUE,"40.7542684, -73.9882624"
K090,2840 WEST  12 STREET,"40.5781983, -73.9801505"
K091,532 ALBANY AVENUE,"40.6617922, -73.9404619"
K092,601 PARKSIDE AVENUE,"40.6562705, -73.9541456"
K093,31 NEW YORK AVENUE,"40.6789073, -73.9465004"
K094,5010 6 AVENUE,"40.6436734, -74.0087146"
K095,345 VAN SICKLEN STREET,"40.5957569, -73.9748517"
K096,99 AVENUE P,"40.6080429, -73.984972"
K097,1855 STILLWELL AVENUE,"40.6012111, -73.9856403"
K099,1120 EAST  10 STREET,"40.6214924, -73.9660062"
K100,2951 WEST  3 STREET,"40.5775643, -73.970807"
K101,2360 BENSON AVENUE,"40.5975347, -73.9919116"
K102,211 72 STREET,"40.7694866, -73.9599393"
K104,9115 5 AVENUE,"40.7644781, -73.9729109"
K105,1031 59 STREET,"40.7583838, -73.9590104"
K106,1328 PUTNAM AVENUE,"40.6938847, -73.9130444"
K107,1301 8 AVENUE,"40.8008186, -73.9580276"
K108,200 LINWOOD STREET,"40.681272, -73.8843465"
K110,124 MONITOR STREET,"40.7236698, -73.9419847"
K111,35 STARR STREET,"40.7008178, -73.9275874"
K112,7115 15 AVENUE,"40.619415, -74.0005724"
K113,300 ADELPHI STREET,"40.6884318, -73.971169"
K114,1077 REMSEN AVENUE,"40.6425436, -73.9080304"
K115,1500 EAST  92 STREET,"40.6348511, -73.8978947"
K116,515 KNICKERBOCKER AVENUE,"40.6980574, -73.9165882"
K117,300 WILLOUGHBY AVENUE,"40.691991, -73.9583083"
K119,3829 AVENUE K,"40.6260353, -73.9387875"
K120,18 BEAVER STREET,"40.7048111, -74.0123928"
K121,5301 20 AVENUE,"40.6228761, -73.9787743"
K123,100 IRVING AVENUE,"40.7039048, -73.9225744"
K124,515 4 AVENUE,"40.6674919, -73.990697"
K126,424 LEONARD STREET,"40.7197692, -73.9479681"
K127,7805 7 AVENUE,"40.6238069, -74.018575"
K128,2075 84 STREET,"40.6049942, -73.9951343"
K130,70 OCEAN PARKWAY,"40.648959, -73.9758479"
K131,4305 FT HAMILTON PARKWAY,"40.6407837, -73.9933473"
K132,320 MANHATTAN AVENUE,"40.8034139, -73.957643"
K135,684 LINDEN BOULEVARD,"40.6532579, -73.9329753"
K136,4004 4 AVENUE,"40.65212, -74.0074465"
K137,121 SARATOGA AVENUE,"40.6822466, -73.9166957"
K138,760 PROSPECT PLACE,"40.6739449, -73.9513952"
K139,330 RUGBY ROAD,"40.641322, -73.9658288"
K142,610 HENRY STREET,"40.7142326, -73.98103"
K145,100 NOLL STREET,"40.7014459, -73.9323011"
K147,325 BUSHWICK AVENUE,"40.7050231, -73.9387071"
K148,185 ELLERY STREET,"40.699216, -73.9452153"
K149,700 SUTTER AVENUE,"40.6693524, -73.8927603"
K150,364 SACKMAN STREET,"40.668635, -73.9050857"
K151,763 KNICKERBOCKER AVENUE,"40.6933707, -73.9082333"
K152,2310 GLENWOOD ROAD,"40.632619, -73.954263"
K153,1970 HOMECREST AVENUE,"40.6011737, -73.9600314"
K154,1625 11 AVENUE,"40.7715888, -73.9904972"
K155,1355 HERKIMER STREET,"40.6776416, -73.9086945"
K157,850 KENT AVENUE,"40.6953971, -73.9600053"
K158,400 ASHFORD STREET,"40.6725882, -73.8851972"
K159,2781 PITKIN AVENUE,"40.676117, -73.869676"
K160,5105 Fort Hamilton Parkway,"40.6369354, -73.999073"
K161,330 CROWN STREET,"40.6659051, -73.9492002"
K162,1390 WILLOUGHBY AVENUE,"40.7068713, -73.9200201"
K163,1664 BENSON AVENUE,"40.6069424, -74.0073269"
K164,4211 14 AVENUE,"40.6371733, -73.985845"
K165,76 LOTT AVENUE,"40.6571963, -73.9109443"
K166 ,800 VAN SICLEN AVE,"40.6596371, -73.8855967"
K167,1025 EASTERN PARKWAY,"40.6695138, -73.9343285"
K169,4305 7 AVENUE,"40.8266408, -73.9352535"
K170,7109 6 AVENUE,"40.63037, -74.018707"
K171,528 RIDGEWOOD AVENUE,"40.685841, -73.869429"
K172,825 4 AVENUE,"40.6575977, -74.0000943"
K174,574 DUMONT AVENUE,"40.6655567, -73.8976406"
K175,226 BRISTOL STREET,"40.6655301, -73.9120609"
K176,1225 69 STREET,"40.6247586, -74.0050738"
K177,346 AVENUE P,"40.608456, -73.9744967"
K178,2163 DEAN STREET,"40.6752336, -73.9153064"
K179,202 AVENUE C,"40.7273043, -73.9764771"
K180,5601 16 AVENUE,"40.6265896, -73.9894638"
K181,1023 NEW YORK AVENUE,"40.6480901, -73.9459114"
K183,76 RIVERDALE AVENUE,"40.6599698, -73.9136157"
K184,273 NEWPORT STREET,"40.6602284, -73.9049467"
K185,8601 RIDGE BOULEVARD,"40.6236345, -74.0334917"
K186,7601 19 AVENUE,"40.6111062, -73.9945926"
K188,3314 NEPTUNE AVENUE,"40.5767764, -74.0005389"
K189,1100 EAST NEW YORK AVENUE,"40.6654464, -73.9256806"
K190,590 SHEFFIELD AVENUE,"40.662265, -73.894749"
K191,1600 PARK PLACE,"40.6718115, -73.9241962"
K192,4715 18 AVENUE,"40.6289888, -73.9798624"
K193,2515 AVENUE L,"40.6218516, -73.9502828"
K194,3117 AVENUE W,"40.5974043, -73.9340849"
K195,131 IRWIN STREET,"40.580244, -73.9435918"
K196,207 BUSHWICK AVENUE,"40.7087808, -73.9395289"
K197,1599 EAST  22 STREET,"40.6125713, -73.9515546"
K198,4105 FARRAGUT ROAD,"40.6373818, -73.9370465"
K199,1100 ELM AVENUE,"40.6165667, -73.9631339"
K200,1940 BENSON AVENUE,"40.6029022, -74.0018256"
K201,8010 12 AVENUE,"40.6187449, -74.0133105"
K202,982 HEGEMAN AVENUE,"40.6662563, -73.8764047"
K203,5101 AVENUE M,"40.621911, -73.9257232"
K204,8101 15 AVENUE,"40.6136795, -74.0063557"
K205,6701 20 AVENUE,"40.6148257, -73.9869986"
K206,2200 GRAVESEND NECK ROAD,"40.5971351, -73.948515"
K207,4011 FILLMORE AVENUE,"40.613779, -73.9303039"
K208,4801 AVENUE D,"40.642701, -73.9309"
K209,2609 EAST  7 STREET,"40.5867695, -73.9614784"
K210,188 ROCHESTER AVENUE,"40.672706, -73.9289299"
K211,1001 EAST 100 STREET,"40.6431634, -73.8956577"
K212,87 BAY  49 STREET,"40.5874946, -73.9856106"
K213,580 HEGEMAN AVENUE,"40.6600483, -73.8902194"
K214,2944 PITKIN AVENUE,"40.6763238, -73.8630617"
K215,415 AVENUE S,"40.6024654, -73.9700719"
K216,350 AVENUE X,"40.5901813, -73.9696613"
K217,1100 NEWKIRK AVENUE,"40.633626, -73.9662726"
K218,370 FOUNTAIN AVENUE,"40.6700636, -73.8745557"
K219,1060 CLARKSON AVENUE,"40.6589959, -73.9224849"
K220,4812 9TH AVENUE,"40.8726649, -73.9115626"
K221,791 EMPIRE BOULEVARD,"40.6639361, -73.9360597"
K222,3301 QUENTIN ROAD,"40.613814, -73.9389991"
K223,4200 16 AVENUE,"40.6349573, -73.9822565"
K224,757 WORTMAN AVENUE,"40.6646803, -73.8658509"
K225,1075 OCEAN VIEW AVENUE,"40.5798595, -73.9560852"
K226,6006 23 AVENUE,"40.615326, -73.9769444"
K227,6500 16 AVENUE,"40.6218446, -73.9955288"
K228,228 AVENUE S,"40.6008156, -73.9768379"
K229,1400 BENSON AVENUE,"40.6105773, -74.0133005"
K230,1 ALBEMARLE ROAD,"40.6453183, -73.9802923"
K232,905 WINTHROP STREET,"40.6586846, -73.9286824"
K233,9301 AVENUE B,"40.6514078, -73.9140211"
K234,1875 EAST  17 STREET,"40.6044374, -73.9551709"
K235,525 LENOX ROAD,"40.655042, -73.9406764"
K236,6302 AVENUE U,"40.6157564, -73.9123755"
K237,50 AVENUE P,"40.6070076, -73.9868516"
K238,1633 EAST  8 STREET,"40.6087872, -73.9645872"
K239,2401 NEPTUNE AVENUE,"40.5786601, -73.9923915"
K240,2500 NOSTRAND AVENUE,"40.6237984, -73.946824"
K241,976 PRESIDENT STREET,"40.6688839, -73.9605414"
K243,1580 DEAN STREET,"40.6757324, -73.9350819"
K244,5404 TILDEN AVENUE,"40.6479176, -73.9256023"
K246,72 VERONICA PLACE,"40.6483647, -73.9534334"
K247,7000 21 AVENUE,"40.6122494, -73.9872188"
K249,18 MARLBOROUGH ROAD,"40.6495549, -73.966506"
K250,108 MONTROSE AVENUE,"40.7067404, -73.9456643"
K251,1037 EAST  54 STREET,"40.6313307, -73.9238402"
K252,1084 LENOX ROAD,"40.6578498, -73.9200323"
K253,601 OCEANVIEW AVENUE,"40.5800844, -73.9619463"
K254,1801 AVENUE Y,"40.5909008, -73.9514896"
K255,1866 EAST  17 STREET,"40.6044665, -73.9560036"
K256,114 KOSCIUSKO STREET,"40.6904818, -73.9497101"
K257,60 COOK STREET,"40.7028051, -73.9414858"
K258,141 MACON STREET,"40.6818962, -73.9456107"
K259,7305 FT HAMILTON PARKWAY,"40.6264814, -74.0149914"
K260,875 WILLIAMS AVENUE,"40.6540103, -73.894627"
K261,314 PACIFIC STREET,"40.6871212, -73.9883653"
K262,500 MACON STREET,"40.6830549, -73.9299591"
K263,210 CHESTER STREET,"40.6662469, -73.9112701"
K264,371 89th Street,"40.7790284, -73.9484423"
K265,101 PARK AVENUE,"40.7508681, -73.9776656"
K268,133 EAST  53 STREET,"40.7584069, -73.9710402"
K269,1957 NOSTRAND AVENUE,"40.6376173, -73.9476627"
K270,241 EMERSON PLACE,"40.6896262, -73.9610938"
K271,1137 HERKIMER STREET,"40.678113, -73.9152109"
K272,101-24 SEAVIEW AVENUE,"40.5896342, -74.0979654"
K273,923 JEROME STREET,"40.6583219, -73.8790652"
K274,800 BUSHWICK AVENUE,"40.694186, -73.928157"
K275,985 ROCKAWAY AVENUE,"40.6557633, -73.9066851"
K276,1070 EAST  83 STREET,"40.7725474, -73.9452002"
K277,2529 GERRITSEN AVENUE,"40.5958779, -73.9279629"
K278,1925 STUART STREET,"40.6066703, -73.9387156"
K279,1070 EAST 104 STREET,"40.6440444, -73.8927372"
K281,8787 24 AVENUE,"40.5944454, -73.9938189"
K282,180 6 AVENUE,"40.7260271, -74.0034422"
K284,213 OSBORN STREET,"40.6669338, -73.9076104"
K285,5909 BEVERLY ROAD,"40.6474432, -73.9207748"
K286,2525 HARING STREET,"40.5911934, -73.938719"
K287,50 NAVY STREET,"40.6978606, -73.9810466"
K288,2950 WEST  25 STREET,"40.5742699, -73.9924766"
K289,900 ST MARKS AVENUE,"40.6742397, -73.9423996"
K290,135 SCHENCK AVENUE,"40.6779316, -73.8897626"
K291,231 PALMETTO STREET,"40.6956477, -73.9154057"
K292,301 VERMONT STREET,"40.671887, -73.893453"
K293,284 BALTIC STREET,"40.685159, -73.9936336"
K296,125 COVERT STREET,"40.6889221, -73.9103296"
K297,700 PARK AVENUE,"40.7695057, -73.965469"
K298,85 WATKINS STREET,"40.671012, -73.9077404"
K299,88 WOODBINE STREET,"40.6909968, -73.9178498"
K302,350 LINWOOD STREET,"40.6769819, -73.8838383"
K303,521 WEST AVENUE,"40.5827027, -73.9723072"
K304,280 HART STREET,"40.6937607, -73.9407315"
K305,344 MONROE STREET,"40.7124612, -73.9838677"
K306,970 VERMONT STREET,"40.6552607, -73.8863345"
K307,209 YORK STREET,"40.7017809, -73.981587"
K308,616 QUINCY STREET,"40.6884471, -73.9352955"
K309,794 MONROE STREET,"40.6881193, -73.9244409"
K310,942 62ND STREET,"40.7602199, -73.9576386"
K312,7103 AVENUE T,"40.6220316, -73.9090726"
K313,283 ADAMS STREET,"40.6946392, -73.9883072"
K314,330 59 STREET,"40.7598284, -73.9630748"
K316,750 CLASSON AVENUE,"40.6745505, -73.9608666"
K317,610 BALTIC STREET,"40.6800879, -73.9805771"
K318,101 WALTON STREET,"40.7032152, -73.9485032"
K319,360 KEAP STREET,"40.7096257, -73.953893"
K320,46 MCKEEVER PLACE,"40.6648781, -73.9595224"
K321,180 7 AVENUE,"40.7427361, -73.9969688"
K324,800 GATES AVENUE,"40.6879384, -73.932378"
K327,111 BRISTOL STREET,"40.6679799, -73.9120847"
K328,330 ALABAMA AVENUE,"40.6678169, -73.898173"
K329,2929 WEST  30 STREET,"40.5748389, -73.9958066"
K331,7002 4TH AVENUE,"40.6337329, -74.0242199"
K332,51 CHRISTOPHER AVENUE,"40.6723332, -73.9062254"
K333,4222 4th Avenue,"40.6506652, -74.0085124"
K335,130 ROCHESTER AVENUE,"40.6744635, -73.9283815"
K345,111 BERRIMAN STREET,"40.6761876, -73.8798861"
K346,1400 PENNSYLVANIA AVENUE,"40.6467447, -73.881849"
K356,104 SUTTER AVENUE,"40.6652972, -73.9178843"
K364,1426 FREEPORT LOOP,"40.6464708, -73.8811318"
K366,965 EAST 107TH STREET,"40.6474167, -73.891766"
K369,383 STATE STREET,"40.6873433, -73.9832644"
K370,3000 WEST 1 STREET,"40.5862329, -73.9703775"
K371,355 37 STREET,"40.7551274, -73.9944871"
K376,194 HARMAN STREET,"40.698048, -73.920166"
K377,200 WOODBINE STREET,"40.6938167, -73.9148786"
K380,370 MARCY AVENUE,"40.7018942, -73.9534592"
K383,1300 GREENE AVENUE,"40.6976382, -73.9195339"
K384,242 COOPER STREET,"40.68977, -73.9048317"
K390,1224 PARK PLACE,"40.672272, -73.9371639"
K391,790 EAST NEW YORK AVENUE,"40.6620866, -73.9364584"
K395,1001 EAST  45 STREET,"40.6360513, -73.9330797"
K397,490 FENIMORE STREET,"40.6587334, -73.9463837"
K398,60 EAST  94 STREET,"40.7856208, -73.9544134"
K399,2707 ALBEMARLE ROAD,"40.6482474, -73.9517783"
K400,2630 BENSON AVENUE,"40.5936235, -73.9861443"
K405,2839 BEDFORD AVENUE,"40.632833, -73.9523773"
K410,2800 OCEAN PARKWAY,"40.5823822, -73.9682211"
K415,5800 TILDEN AVENUE,"40.6480566, -73.9222341"
K420,999 JAMAICA AVENUE,"40.6930052, -73.8690682"
K422,1065 ELTON STREET,"40.6573634, -73.8741237"
K425,3787 BEDFORD AVENUE,"40.6099056, -73.9482591"
K430,29 FT GREENE PLACE,"40.6889345, -73.9764419"
K435,400 PENNSYLVANIA AVENUE,"40.6675989, -73.8947925"
K440,883 CLASSON AVENUE,"40.6699445, -73.9609004"
K445,1601 80 STREET,"40.6130317, -74.0021576"
K450,850 GRAND STREET,"40.7132334, -73.9775892"
K455,1700 FULTON STREET,"40.6789227, -73.9316585"
K458,832 MARCY AVENUE,"40.6846109, -73.9478897"
K460,237 7 AVENUE,"40.7444851, -73.9953492"
K465,911 FLATBUSH AVENUE,"40.6495876, -73.9571761"
K470,600 KINGSTON AVENUE,"40.658665, -73.943838"
K480,400 IRVING AVENUE,"40.6968124, -73.9117231"
K485,350 67 STREET,"40.7646397, -73.9587363"
K486,1171 65 STREET,"40.6278465, -74.0040034"
K490,8301 SHORE ROAD,"40.6271654, -74.0393384"
K495,3000 AVENUE X,"40.5934398, -73.9367825"
K500,1600 ROCKAWAY PARKWAY,"40.640423, -73.8984517"
K505,5800 20 AVENUE,"40.6213242, -73.9825025"
K515,6565 FLATLANDS AVENUE,"40.6337001, -73.9174886"
K520,112 SCHERMERHORN STREET,"40.6899893, -73.9892204"
K525,1600 AVENUE L,"40.6197493, -73.959165"
K535,1830 SHORE BOULEVARD,"40.5807237, -73.935021"
K540,50 AVENUE X,"40.5876721, -73.9814689"
K554,321 PALMETTO STREET,"40.6975906, -73.9130974"
K564,153 35TH STREET,"40.751375, -73.989417"
K580,105 TECH PLACE,"40.6956553, -73.985831"
K590,1186 CARROLL STREET,"40.667, -73.9510136"
K600,901 CLASSON AVENUE,"40.6690793, -73.9614012"
K610,50 BEDFORD AVENUE,"40.7222582, -73.9535961"
K615,1 WELLS STREET,"40.6788153, -73.8753605"
K620,25 BRIGHTON  4TH ROAD,"40.5833256, -73.9636743"
K625,150 ALBANY AVENUE,"40.6753807, -73.939165"
K650,257 NORTH  6 STREET,"40.7156299, -73.9550136"
K655,345 DEAN STREET,"40.6838346, -73.9803552"
K660,145 PENNSYLVANIA AVENUE,"40.6738372, -73.8960768"
K721,8310 21ST AVENUE,"40.6048465, -73.9947464"
K722,64 AVENUE X,"40.589085, -73.9812849"
K728,2865 WEST 19TH STREET,"40.5771391, -73.9856484"
K735,249 EAST 17TH STREET,"40.7345215, -73.984158"
K763,211 8TH STREET,"40.7296953, -73.9901496"
K778,250 HOOPER STREET,"40.7056403, -73.9555862"
K781,1053 41ST STREET,"40.6428159, -73.9925243"
K798,696 JAMAICA AVENUE,"40.6869015, -73.8782758"
K804,347 BALTIC STREET,"40.684876, -73.9908836"
K805,49 FLATBUSH AVENUE EXTENSION,"40.6973504, -73.9845347"
K806,362 SCHERMERHORN STREET,"40.6861539, -73.9798539"
K807,109 BAY 14TH STREET,"40.6065941, -74.0076122"
K814,265 WARWICK STREET,"40.6777766, -73.8866986"
K819,2057 LINDEN BOULEVARD,"40.6612079, -73.8867795"
K824,402 EASTERN PARKWAY,"40.6695182, -73.9552791"
K825,173 CONOVER STREET,"40.6778096, -74.0141327"
K834,512 CARROLL STREET,"40.6765196, -73.9854946"
K843,530 STANLEY AVENUE,"40.6569712, -73.888674"
K845,330 18 STREET,"40.742506, -74.002214"
K849,4001 18 AVENUE,"40.6322837, -73.9732736"
K852,1800 UTICA AVENUE,"40.6284004, -73.9281562"
K857,905 WINTHROP STREET,"40.6586846, -73.9286824"
K860,9517 KINGS HIGHWAY,"40.6598018, -73.920611"
K864,3109 NEWKIRK AVENUE,"40.6407488, -73.947079"
K865,797 BUSHWICK AVENUE,"40.6953801, -73.9275211"
K872,1461 GENEVA LOOP,"40.6462779, -73.8789561"
K874,227 STERLING PLACE,"40.6762703, -73.9697221"
K894,1495 HERKIMER STREET,"40.6775666, -73.9040643"
K902,62 PARK PLACE,"40.7136806, -74.0102333"
K907,1150 EAST NEW YORK AVENUE,"40.6662148, -73.9238747"
K909,561 GRAND AVENUE,"40.6786048, -73.9617567"
K913,1155 DEKALB AVENUE,"40.6947103, -73.9293003"
K914,71-77 CLINTON AVENUE,"40.6953677, -73.9688206"
K917,350 CONEY ISLAND AVENUE,"40.6492022, -73.9718961"
K932,560 BROOK AVENUE,"40.8156277, -73.913902"
K971,6214 4TH AVENUE,"40.6394941, -74.0203031"
K987,1396 BROADWAY,"40.7526315, -73.9869966"
K994,1119 BEDFORD AVENUE,"40.6854925, -73.9540418"
KAGI,153 35th St.,"40.751375, -73.989417"
KAQX,856 QUINCY STREET,"40.6897195, -73.9250191"
KBNU,500 19TH STREET,"40.7452305, -74.0059811"
KBXX,475 EAST   57 STREET,"40.7574564, -73.9608612"
KBZT,2186 MILL AVENUE,"40.611413, -73.913977"
L001,525 CONVENT ROAD,"40.8213673, -73.4883134"
M001,8 HENRY STREET,"40.7125614, -73.9974738"
M002,122 HENRY STREET,"40.7129433, -73.9915573"
M003,490 HUDSON STREET,"40.7326315, -74.0059466"
M004,500 WEST 160 STREET,"40.8348474, -73.9412036"
M005,3703 TENTH AVENUE,"40.8589195, -73.9224277"
M006,45 EAST  81 STREET,"40.777703, -73.9604282"
M007,160 EAST 120 STREET,"40.8006309, -73.9393226"
M008,465 WEST 167 STREET,"40.8393844, -73.9367835"
M009,100 WEST  84 STREET,"40.785101, -73.9738667"
M010,2581 7TH AVENUE,"40.8244633, -73.936447"
M011,320 WEST  21 STREET,"40.7445487, -74.0007372"
M013,1573 MADISON AVENUE,"40.793747, -73.9485723"
M015,333 EAST  4 STREET,"40.7218342, -73.9787655"
M017,328 WEST  48 STREET,"40.7613287, -73.9886685"
M019,185 1 AVENUE,"40.7298923, -73.9842311"
M020,166 ESSEX STREET,"40.7212739, -73.9863152"
M022,111 COLUMBIA STREET,"40.7195002, -73.9792392"
M025,145 STANTON STREET,"40.7201848, -73.9859574"
M028,475 WEST 155 STREET,"40.8316548, -73.9420791"
M030,144-176 EAST 128 STREET,"40.805584, -73.9354839"
M033,281 9 AVENUE,"40.7489449, -74.0002433"
M034,730 EAST  12 STREET,"40.7261465, -73.9750432"
